2020-09-26 20:58:05	libepoxy
2020-09-26 20:58:05	libomxil-bellagio
2020-09-26 20:58:05	libpciaccess
2020-09-26 20:58:05	libthai
2020-09-26 20:58:05	libtiff
2020-09-26 20:58:05	libunwind
2020-09-26 20:58:05	libx11
2020-09-26 20:58:05	libxcb
2020-09-26 20:58:05	libxcomposite
2020-09-26 20:58:05	libxcursor
2020-09-26 20:58:05	libxdamage
2020-09-26 20:58:05	libxext
2020-09-26 20:58:05	libxfixes
2020-09-26 20:58:05	libxft
2020-09-26 20:58:05	libxi
2020-09-26 20:58:05	libxinerama
2020-09-26 20:58:05	libxkbcommon
2020-09-26 20:58:05	libxrandr
2020-09-26 20:58:05	libxrender
2020-09-26 20:58:05	libxshmfence
2020-09-26 20:58:05	libxtst
2020-09-26 20:58:05	libxxf86vm
2020-09-26 20:58:05	lzo
2020-09-26 20:58:05	pixman
2020-09-26 20:58:05	shared-mime-info
2020-09-26 20:58:05	wayland
2020-09-26 20:58:05	wayland-protocols
2020-09-26 20:58:05	xorgproto
2020-09-26 20:58:06	adobe-source-code-pro-fonts
2020-09-26 20:58:06	avahi
2020-09-26 20:58:06	brotli
2020-09-26 20:58:06	cantarell-fonts
2020-09-26 20:58:06	colord
2020-09-26 20:58:06	glib-networking
2020-09-26 20:58:06	gsettings-desktop-schemas
2020-09-26 20:58:06	iso-codes
2020-09-26 20:58:06	lcms2
2020-09-26 20:58:06	libcanberra
2020-09-26 20:58:06	libcups
2020-09-26 20:58:06	libedit
2020-09-26 20:58:06	libglvnd
2020-09-26 20:58:06	libgudev
2020-09-26 20:58:06	libgusb
2020-09-26 20:58:06	libogg
2020-09-26 20:58:06	libproxy
2020-09-26 20:58:06	libvorbis
2020-09-26 20:58:06	llvm-libs
2020-09-26 20:58:06	rest
2020-09-26 20:58:06	sound-theme-freedesktop
2020-09-26 20:58:06	tdb
2020-09-26 20:58:06	vulkan-icd-loader
2020-09-26 20:58:07	alsa-plugins
2020-09-26 20:58:07	bluez
2020-09-26 20:58:07	bluez-utils
2020-09-26 20:58:07	dialog
2020-09-26 20:58:07	dosfstools
2020-09-26 20:58:07	flac
2020-09-26 20:58:07	libappindicator-gtk3
2020-09-26 20:58:07	libasyncns
2020-09-26 20:58:07	libdbusmenu-glib
2020-09-26 20:58:07	libdbusmenu-gtk3
2020-09-26 20:58:07	libical
2020-09-26 20:58:07	libice
2020-09-26 20:58:07	libindicator-gtk3
2020-09-26 20:58:07	libnma
2020-09-26 20:58:07	libnotify
2020-09-26 20:58:07	libsm
2020-09-26 20:58:07	libsndfile
2020-09-26 20:58:07	libsoxr
2020-09-26 20:58:07	libxmu
2020-09-26 20:58:07	libxt
2020-09-26 20:58:07	mtools
2020-09-26 20:58:07	network-manager-applet
2020-09-26 20:58:07	nm-connection-editor
2020-09-26 20:58:07	orc
2020-09-26 20:58:07	os-prober
2020-09-26 20:58:07	perl-error
2020-09-26 20:58:07	perl-mailtools
2020-09-26 20:58:07	perl-timedate
2020-09-26 20:58:07	pulseaudio-alsa
2020-09-26 20:58:07	rtkit
2020-09-26 20:58:07	sbc
2020-09-26 20:58:07	speexdsp
2020-09-26 20:58:07	webrtc-audio-processing
2020-09-26 20:58:07	wireless_tools
2020-09-26 20:58:07	xdg-user-dirs
2020-09-26 20:58:07	xdg-utils
2020-09-26 21:07:07	intel-ucode
2020-09-26 21:08:04	gtk2
2020-09-26 21:08:04	lxsession
2020-09-26 21:10:30	libxvmc
2020-09-26 21:10:30	xcb-util
2020-09-26 21:10:30	xf86-video-intel
2020-09-26 21:23:56	libpipeline
2020-09-26 21:23:56	man-db
2020-09-26 21:23:56	xf86-video-vesa
2020-09-26 21:23:56	xorg-bdftopcf
2020-09-26 21:23:56	xorg-docs
2020-09-26 21:23:56	xorg-fonts-alias-100dpi
2020-09-26 21:23:56	xorg-font-util
2020-09-26 21:23:57	libfontenc
2020-09-26 21:23:57	xorg-fonts-100dpi
2020-09-26 21:23:57	xorg-fonts-75dpi
2020-09-26 21:23:57	xorg-fonts-alias-75dpi
2020-09-26 21:23:57	xorg-fonts-encodings
2020-09-26 21:23:57	xorg-iceauth
2020-09-26 21:23:57	xorg-mkfontscale
2020-09-26 21:23:58	atkmm
2020-09-26 21:23:58	bspwm
2020-09-26 21:23:58	cairomm
2020-09-26 21:23:58	dmenu
2020-09-26 21:23:58	exo
2020-09-26 21:23:58	garcon
2020-09-26 21:23:58	glibmm
2020-09-26 21:23:58	gnome-themes-extra
2020-09-26 21:23:58	gtkmm
2020-09-26 21:23:58	libconfig
2020-09-26 21:23:58	libev
